,post_id,perc_miss_comment_author,total_num_nodes,total_density,num_weak_component,num_strong_component,main_miss_node,main_num_nodes,main_density,main_transitivity,main_avg_shortest_path,main_diameter,main_radius,main_eccentricity_mean,main_eccentrisity_std,avg_periphery_lkarma,avg_periphery_ckarma,avg_center_lkarma,avg_center_ckarma,in_degree_top_avg_lkarma,in_degree_top_avg_ckarma,out_degree_top_avg_lkarma,out_degree_top_avg_ckarma,close_top_avg_lkarma,close_top_avg_ckarma,between_top_avg_lkarma,between_top_avg_ckarma,hub_top_avg_lkarma,hub_top_avg_ckarma,auth_top_avg_lkarma,auth_top_avg_ckarma,author_lkarma,author_ckarma
3349,276xt7,0.21974248927038625,408,0.003577106518282989,10,303,0.041666666666666664,72.0,0.03071205007824726,0.03482587064676617,8.816510172143975,18.0,8.0,12.125,2.4091117542456275,,,2442.6666666666665,155885.66666666666,4127.428571428572,104324.71428571429,3926.8571428571427,87814.42857142857,2268.8571428571427,42624.142857142855,13983.42857142857,96150.57142857143,1720.7142857142858,91985.71428571429,3479.4285714285716,103487.0,26380.0,733.0
3350,276zql,0.14058355437665782,373,0.0036178615699501283,9,298,0.03333333333333333,30.0,0.07471264367816093,0.09090909090909091,5.577011494252874,12.0,5.0,7.666666666666667,1.5129074290546958,362.0,4271.0,3919.0,108963.0,1399.3333333333333,47141.333333333336,38863.0,20648.666666666668,45554.333333333336,93842.0,39072.666666666664,57026.0,38615.0,19697.0,1384.6666666666667,25983.333333333332,7517.0,821.0
3351,2772zc,0.1111111111111111,41,0.03719512195121951,2,27,0.0,14.0,0.16483516483516483,0.1,3.758241758241758,8.0,3.0,5.5,1.4015297764534702,112.0,841.0,3999.0,145450.5,3543088.0,102822.0,670.0,123262.0,3543088.0,102822.0,3543088.0,102822.0,21812.0,17537.0,3543088.0,102822.0,3543088.0,102822.0
3352,277310,0.1878453038674033,170,0.0077271145144448316,4,134,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,27784i,0.21232123212321233,424,0.0028937508363441724,11,371,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3354,2779eq,0.13466334164588528,197,0.0068372526675644875,6,155,0.0,11.0,0.18181818181818182,0.0,3.418181818181818,4.0,2.0,3.5454545454545454,0.6555547773570889,7491.571428571428,103389.85714285714,5646.0,36287.0,30284.0,60180.0,30284.0,60180.0,30284.0,60180.0,30284.0,60180.0,5646.0,36287.0,30284.0,60180.0,482481.0,36754.0
3355,277aqb,0.11538461538461539,22,0.047619047619047616,1,21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,277eh9,0.23076923076923078,14,0.08241758241758242,3,10,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3357,277jy2,0.05660377358490566,26,0.05384615384615385,1,18,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,277ns4,0.1625615763546798,103,0.021035598705501618,1,39,0.016129032258064516,62.0,0.04415653093601269,0.13043478260869565,5.280803807509255,11.0,5.0,7.838709677419355,1.6183778057562492,97.66666666666667,323.3333333333333,10362.25,100253.75,17480.833333333332,14848.833333333334,6828.5,59466.666666666664,19428.833333333332,20819.5,17816.333333333332,15069.166666666666,7309.5,31296.833333333332,3749.1666666666665,48962.166666666664,87436.0,4490.0
